id,label,name,age
1,genre,A Cappella,96
2,genre,Acid,9
3,genre,Acoustic,35
4,genre,Alternative,43
5,genre,Ambient,71
6,genre,Avantgarde,79
7,genre,Bass,18
8,genre,Beat,72
9,genre,Bebob,45
10,genre,Big Band,85
11,genre,Black Metal,94
12,genre,Bluegrass,62
13,genre,Blues,28
14,genre,Booty Bass,22
15,genre,BritPop,89
16,genre,Cabaret,53
17,genre,Celtic,3
18,genre,Chamber Music,8
19,genre,Christian Rap,24
20,genre,Christian Rock,78
21,genre,Classic Rock,78
22,genre,Classical,5
23,genre,Club,40
24,genre,Club-House,99
25,genre,Comedy,43
26,genre,Contemporary Christian,61
27,genre,Country,32
28,genre,Cult,58
29,genre,Dance,17
30,genre,Death Metal,97
31,genre,Disco,82
32,genre,Dream,54
33,genre,Drum & Bass,65
34,genre,Drum Solo,100
35,genre,Duet,90
36,genre,Easy Listening,78
37,genre,Electronic,66
38,genre,Ethnic,42
39,genre,Folk,44
40,genre,Folk/Rock,36
41,genre,Folklore,51
42,genre,Freestyle,67
43,genre,Funk,53
44,genre,Fusion,17
45,genre,Game,80
46,genre,Gangsta Rap,33
47,genre,Gospel,69
48,genre,Gothic,85
49,genre,Gothic Rock,28
50,genre,Grunge,88
51,genre,Hard Rock,9
52,genre,Hardcore,96
53,genre,Heavy Metal,10
54,genre,Hip-Hop,64
55,genre,House,27
56,genre,Humour,64
57,genre,Indie,19
58,genre,Industrial,87
59,genre,Instrumental,64
60,genre,Instrumental Pop,3
61,genre,Instrumental Rock,90
62,genre,Jazz,78
63,genre,Jazz+Funk,96
64,genre,Jungle,53
65,genre,Latin,4
66,genre,Lo-Fi,45
67,genre,Meditative,48
68,genre,Metal,35
69,genre,Musical,79
70,genre,New Age,81
71,genre,New Wave,6
72,genre,Noise,73
73,genre,Oldies,82
74,genre,Opera,95
75,genre,Other,25
76,genre,Polka,98
77,genre,Polsk Punk,34
78,genre,Pop,96
79,genre,Pop-Folk,45
80,genre,Pop/Funk,21
81,genre,Power Ballad,65
82,genre,Progressive Rock,99
83,genre,Psychedelic,76
84,genre,Psychedelic Rock,40
85,genre,Punk,94
86,genre,Punk Rock,67
87,genre,R&B,77
88,genre,Rap,98
89,genre,Rave,13
90,genre,Reggae,33
91,genre,Retro,1
92,genre,Revival,14
93,genre,Rhythmic Soul,51
94,genre,Rock,65
95,genre,Rock & Roll,94
96,genre,Salsa,17
97,genre,Samba,19
98,genre,Satire,37
99,genre,Ska,19
100,genre,Sonata,74
101,genre,Soul,48
102,genre,Soundtrack,73
103,genre,Southern Rock,26
104,genre,Swing,32
105,genre,Symphonic Rock,9
106,genre,Symphony,80
107,genre,Synthpop,37
108,genre,Tango,93
109,genre,Techno,23
110,genre,Techno-Industrial,6
111,genre,Thrash Metal,34
112,genre,Top 40,22
113,genre,Trance,67
114,genre,Tribal,91
115,genre,Vocal,49
